target_char,group,ref_char,ref_path,retrieval_rank,ref_selection_seed,generation_seed,content_path,output_path,note
麟,B,顎,/d/htt/data/image/train/wxz/5251.jpg,,4,6220,callirag/cases/content/2475.jpg,callirag/outputs/layer2/generation_outputs/麟_B_seed4.png,uniform_random
麟,C,鳞,/d/htt/data/image/train/wxz/0053.jpg,1,,6220,callirag/cases/content/2475.jpg,callirag/outputs/layer2/generation_outputs/麟_C_rank1.png,structural_top1
麟,D,磷,/d/htt/data/image/train/wxz/2636.jpg,3,,6220,callirag/cases/content/2475.jpg,callirag/outputs/layer2/generation_outputs/麟_D_rank3.png,rank_ablation
麟,D,糖,/d/htt/data/image/test/wxz/6695.jpg,5,,6220,callirag/cases/content/2475.jpg,callirag/outputs/layer2/generation_outputs/麟_D_rank5.png,rank_ablation
驢,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,10227,callirag/cases/content/3252.jpg,callirag/outputs/layer2/generation_outputs/驢_A.png,fixed_baseline
驢,B,霓,/d/htt/data/image/train/wxz/1125.jpg,,0,10227,callirag/cases/content/3252.jpg,callirag/outputs/layer2/generation_outputs/驢_B_seed0.png,uniform_random
驢,B,寓,/d/htt/data/image/train/wxz/1276.jpg,,1,10227,callirag/cases/content/3252.jpg,callirag/outputs/layer2/generation_outputs/驢_B_seed1.png,uniform_random
驢,B,解,/d/htt/data/image/train/wxz/2758.jpg,,2,10227,callirag/cases/content/3252.jpg,callirag/outputs/layer2/generation_outputs/驢_B_seed2.png,uniform_random
驢,B,沈,/d/htt/data/image/train/wxz/0260.jpg,,3,10227,callirag/cases/content/3252.jpg,callirag/outputs/layer2/generation_outputs/驢_B_seed3.png,uniform_random
驢,B,稍,/d/htt/data/image/test/wxz/5691.jpg,,4,10227,callirag/cases/content/3252.jpg,callirag/outputs/layer2/generation_outputs/驢_B_seed4.png,uniform_random
驢,C,蘇,/d/htt/data/image/train/wxz/3407.jpg,1,,10227,callirag/cases/content/3252.jpg,callirag/outputs/layer2/generation_outputs/驢_C_rank1.png,structural_top1
驢,D,蟠,/d/htt/data/image/test/wxz/5594.jpg,3,,10227,callirag/cases/content/3252.jpg,callirag/outputs/layer2/generation_outputs/驢_D_rank3.png,rank_ablation
驢,D,猛,/d/htt/data/image/test/wxz/5805.jpg,5,,10227,callirag/cases/content/3252.jpg,callirag/outputs/layer2/generation_outputs/驢_D_rank5.png,rank_ablation
赢,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,7386,callirag/cases/content/3273.jpg,callirag/outputs/layer2/generation_outputs/赢_A.png,fixed_baseline
赢,B,叩,/d/htt/data/image/train/wxz/4313.jpg,,0,7386,callirag/cases/content/3273.jpg,callirag/outputs/layer2/generation_outputs/赢_B_seed0.png,uniform_random
赢,B,湖,/d/htt/data/image/test/wxz/5533.jpg,,1,7386,callirag/cases/content/3273.jpg,callirag/outputs/layer2/generation_outputs/赢_B_seed1.png,uniform_random
赢,B,鲳,/d/htt/data/image/train/wxz/0294.jpg,,2,7386,callirag/cases/content/3273.jpg,callirag/outputs/layer2/generation_outputs/赢_B_seed2.png,uniform_random
赢,B,雇,/d/htt/data/image/train/wxz/5231.jpg,,3,7386,callirag/cases/content/3273.jpg,callirag/outputs/layer2/generation_outputs/赢_B_seed3.png,uniform_random
赢,B,狄,/d/htt/data/image/train/wxz/3168.jpg,,4,7386,callirag/cases/content/3273.jpg,callirag/outputs/layer2/generation_outputs/赢_B_seed4.png,uniform_random
赢,C,瀛,/d/htt/data/image/train/wxz/2834.jpg,1,,7386,callirag/cases/content/3273.jpg,callirag/outputs/layer2/generation_outputs/赢_C_rank1.png,structural_top1
赢,D,葫,/d/htt/data/image/train/wxz/0976.jpg,3,,7386,callirag/cases/content/3273.jpg,callirag/outputs/layer2/generation_outputs/赢_D_rank3.png,rank_ablation
赢,D,望,/d/htt/data/image/train/wxz/1487.jpg,5,,7386,callirag/cases/content/3273.jpg,callirag/outputs/layer2/generation_outputs/赢_D_rank5.png,rank_ablation
諢,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,5072,callirag/cases/content/3323.jpg,callirag/outputs/layer2/generation_outputs/諢_A.png,fixed_baseline
諢,B,崇,/d/htt/data/image/train/wxz/1821.jpg,,0,5072,callirag/cases/content/3323.jpg,callirag/outputs/layer2/generation_outputs/諢_B_seed0.png,uniform_random
諢,B,井,/d/htt/data/image/train/wxz/0575.jpg,,1,5072,callirag/cases/content/3323.jpg,callirag/outputs/layer2/generation_outputs/諢_B_seed1.png,uniform_random
諢,B,殷,/d/htt/data/image/train/wxz/4832.jpg,,2,5072,callirag/cases/content/3323.jpg,callirag/outputs/layer2/generation_outputs/諢_B_seed2.png,uniform_random
諢,B,蔭,/d/htt/data/image/train/wxz/4353.jpg,,3,5072,callirag/cases/content/3323.jpg,callirag/outputs/layer2/generation_outputs/諢_B_seed3.png,uniform_random
諢,B,怫,/d/htt/data/image/train/wxz/0515.jpg,,4,5072,callirag/cases/content/3323.jpg,callirag/outputs/layer2/generation_outputs/諢_B_seed4.png,uniform_random
諢,C,輝,/d/htt/data/image/test/wxz/5650.jpg,1,,5072,callirag/cases/content/3323.jpg,callirag/outputs/layer2/generation_outputs/諢_C_rank1.png,structural_top1
諢,D,渾,/d/htt/data/image/train/wxz/1617.jpg,3,,5072,callirag/cases/content/3323.jpg,callirag/outputs/layer2/generation_outputs/諢_D_rank3.png,rank_ablation
諢,D,琿,/d/htt/data/image/train/wxz/4455.jpg,5,,5072,callirag/cases/content/3323.jpg,callirag/outputs/layer2/generation_outputs/諢_D_rank5.png,rank_ablation
囊,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,9553,callirag/cases/content/4118.jpg,callirag/outputs/layer2/generation_outputs/囊_A.png,fixed_baseline
囊,B,飛,/d/htt/data/image/test/wxz/6729.jpg,,0,9553,callirag/cases/content/4118.jpg,callirag/outputs/layer2/generation_outputs/囊_B_seed0.png,uniform_random
囊,B,缝,/d/htt/data/image/train/wxz/1603.jpg,,1,9553,callirag/cases/content/4118.jpg,callirag/outputs/layer2/generation_outputs/囊_B_seed1.png,uniform_random
囊,B,幣,/d/htt/data/image/train/wxz/1496.jpg,,2,9553,callirag/cases/content/4118.jpg,callirag/outputs/layer2/generation_outputs/囊_B_seed2.png,uniform_random
囊,B,囔,/d/htt/data/image/test/wxz/6415.jpg,,3,9553,callirag/cases/content/4118.jpg,callirag/outputs/layer2/generation_outputs/囊_B_seed3.png,uniform_random
囊,B,鎬,/d/htt/data/image/test/wxz/5426.jpg,,4,9553,callirag/cases/content/4118.jpg,callirag/outputs/layer2/generation_outputs/囊_B_seed4.png,uniform_random
囊,C,囔,/d/htt/data/image/test/wxz/6415.jpg,1,,9553,callirag/cases/content/4118.jpg,callirag/outputs/layer2/generation_outputs/囊_C_rank1.png,structural_top1
囊,D,襄,/d/htt/data/image/train/wxz/0540.jpg,3,,9553,callirag/cases/content/4118.jpg,callirag/outputs/layer2/generation_outputs/囊_D_rank3.png,rank_ablation
囊,D,嚷,/d/htt/data/image/train/wxz/0382.jpg,5,,9553,callirag/cases/content/4118.jpg,callirag/outputs/layer2/generation_outputs/囊_D_rank5.png,rank_ablation
鑫,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,4311,callirag/cases/content/5582.jpg,callirag/outputs/layer2/generation_outputs/鑫_A.png,fixed_baseline
鑫,B,楠,/d/htt/data/image/train/wxz/0157.jpg,,0,4311,callirag/cases/content/5582.jpg,callirag/outputs/layer2/generation_outputs/鑫_B_seed0.png,uniform_random
鑫,B,肛,/d/htt/data/image/train/wxz/3009.jpg,,1,4311,callirag/cases/content/5582.jpg,callirag/outputs/layer2/generation_outputs/鑫_B_seed1.png,uniform_random
鑫,B,痹,/d/htt/data/image/train/wxz/2767.jpg,,2,4311,callirag/cases/content/5582.jpg,callirag/outputs/layer2/generation_outputs/鑫_B_seed2.png,uniform_random
鑫,B,苛,/d/htt/data/image/train/wxz/0504.jpg,,3,4311,callirag/cases/content/5582.jpg,callirag/outputs/layer2/generation_outputs/鑫_B_seed3.png,uniform_random
鑫,B,门,/d/htt/data/image/train/wxz/5022.jpg,,4,4311,callirag/cases/content/5582.jpg,callirag/outputs/layer2/generation_outputs/鑫_B_seed4.png,uniform_random
鑫,C,鑒,/d/htt/data/image/train/wxz/0172.jpg,1,,4311,callirag/cases/content/5582.jpg,callirag/outputs/layer2/generation_outputs/鑫_C_rank1.png,structural_top1
鑫,D,鑄,/d/htt/data/image/train/wxz/1951.jpg,3,,4311,callirag/cases/content/5582.jpg,callirag/outputs/layer2/generation_outputs/鑫_D_rank3.png,rank_ablation
鑫,D,鐸,/d/htt/data/image/train/wxz/1650.jpg,5,,4311,callirag/cases/content/5582.jpg,callirag/outputs/layer2/generation_outputs/鑫_D_rank5.png,rank_ablation
